part_id,country,part_age_group,part_adult_child,part_ethnicity,part_ses,day_week,large_n,add_u18_work,add_18_64_work,add_65_work,add_u18_school,add_18_64_school,add_65_school,add_u18_other,add_18_64_other,add_65_other
1362,UK,45-49,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1373,UK,40-44,Adult,White,1,weekday,8,0,0,0,0,0,0,0,8,0
1384,UK,30-34,Adult,Asian,1,weekend,0,0,0,0,0,0,0,0,0,0
1395,UK,60-64,Adult,White,4,weekday,0,0,0,0,0,0,0,0,0,0
1406,UK,50-54,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
1417,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1425,UK,50-54,Adult,Other,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1426,UK,55-59,Adult,White,6,weekday,0,0,0,0,0,0,0,0,0,0
1427,UK,20-24,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
1428,UK,50-54,Adult,White,1,weekday,2,0,1,0,0,0,0,0,1,0
1429,UK,35-39,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
1430,UK,40-44,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
1431,UK,35-39,Adult,White,5,weekday,3,0,0,0,0,0,0,1,2,0
1432,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1433,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1434,UK,40-44,Adult,White,1,weekday,60,0,0,0,0,0,0,60,0,0
1435,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1436,UK,35-39,Adult,Asian,3,weekday,0,0,0,0,0,0,0,0,0,0
1437,UK,50-54,Adult,White,Unemployed,weekend,0,0,0,0,0,0,0,0,0,0
1438,UK,60-64,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
1439,UK,40-44,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
1440,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1441,UK,50-54,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
1442,UK,50-54,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1443,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1444,UK,55-59,Adult,White,5,weekend,0,0,0,0,0,0,0,0,0,0
1445,UK,35-39,Adult,White,1,weekday,3,0,0,0,0,0,0,0,3,0
1446,UK,65-69,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
1447,UK,55-59,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1448,UK,60-64,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1449,UK,55-59,Adult,Asian,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1450,UK,55-59,Adult,White,2,weekend,0,0,0,0,0,0,0,0,0,0
1451,UK,35-39,Adult,White,1,weekday,5,0,0,0,0,0,0,2,2,1
1452,UK,35-39,Adult,Asian,2,weekend,0,0,0,0,0,0,0,0,0,0
1453,UK,60-64,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1454,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1455,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1456,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1457,UK,20-24,Adult,Asian,3,weekday,0,0,0,0,0,0,0,0,0,0
1458,UK,40-44,Adult,Black,3,weekend,0,0,0,0,0,0,0,0,0,0
1459,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1460,UK,35-39,Adult,Black,2,weekday,0,0,0,0,0,0,0,0,0,0
1461,UK,40-44,Adult,White,7,weekend,3,0,0,0,0,0,0,2,1,0
1462,UK,25-29,Adult,Asian,3,weekday,0,0,0,0,0,0,0,0,0,0
1463,UK,60-64,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1464,UK,20-24,Adult,White,7,weekend,1,0,0,0,0,0,0,1,0,0
1465,UK,20-24,Adult,White,Unknown,weekend,20,0,0,0,0,0,0,10,10,0
1466,UK,50-54,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
1467,UK,20-24,Adult,Asian,1,weekend,0,0,0,0,0,0,0,0,0,0
1468,UK,55-59,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1469,UK,30-34,Adult,White,7,weekday,3,0,0,0,0,0,0,0,3,0
1470,UK,45-49,Adult,White,Unemployed,weekend,0,0,0,0,0,0,0,0,0,0
1471,UK,35-39,Adult,Black,6,weekday,24,0,0,0,0,0,0,20,4,0
1472,UK,30-34,Adult,White,7,weekend,0,0,0,0,0,0,0,0,0,0
1473,UK,75+,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1474,UK,30-34,Adult,White,5,weekday,4,0,3,1,0,0,0,0,0,0
